planet_id,star_type,star_teff_k,star_magnitude_j,planet_radius_re,distance_pc,equilibrium_temp_k,in_habitable_zone,atmosphere_type,cloud_fraction,scale_height_km,o2_ch4_ratio,n_transits,broadband_snr,is_detected,noise_floor_ppm,transit_duration_h
8566,M,3501.4017299346306,10.516270005953992,2.7639606308344677,45.08730258046092,468.6833252703013,False,high_co2,0.3885950202542216,9.109432015798948,0.01,10,116.84042250464239,True,29.119443242443285,1.6521814481924002
8566,M,3501.4017299346306,10.516270005953992,2.7639606308344677,45.08730258046092,468.6833252703013,False,high_co2,0.3885950202542216,9.109432015798948,0.01,20,139.5043789404832,True,24.9760988468633,1.6521814481924002
8567,M,2677.4624607091564,11.344291324575849,1.8,41.3053017429269,180.85385352451064,False,hycean,0.7013472929206942,8.713601954543483,0.002,5,330.8842753038052,True,47.64308527752213,1.4779944639023317
8567,M,2677.4624607091564,11.344291324575849,1.8,41.3053017429269,180.85385352451064,False,hycean,0.7013472929206942,8.713601954543483,0.002,10,418.68881207766515,True,36.53672300982346,1.4779944639023317
8567,M,2677.4624607091564,11.344291324575849,1.8,41.3053017429269,180.85385352451064,False,hycean,0.7013472929206942,8.713601954543483,0.002,20,502.52602166418455,True,29.446215921960842,1.4779944639023317
8568,M,2583.791734209168,10.83092034748334,1.1442825205331195,30.91805932646811,238.51406073282675,True,abiotic_o2,0.19386220928057482,10.182228005282338,1000.0,5,21.45265746037166,True,44.822530692849725,1.029195498285189
8568,M,2583.791734209168,10.83092034748334,1.1442825205331195,30.91805932646811,238.51406073282675,True,abiotic_o2,0.19386220928057482,10.182228005282338,1000.0,10,28.759884241263517,True,34.67879616009956,1.029195498285189
8568,M,2583.791734209168,10.83092034748334,1.1442825205331195,30.91805932646811,238.51406073282675,True,abiotic_o2,0.19386220928057482,10.182228005282338,1000.0,20,37.426824551931965,True,28.307412820965812,1.029195498285189
8569,M,3416.0623208490424,10.101003750864741,1.8941181127497075,35.71082480458457,136.54485793731396,False,high_co2,0.7561882916715839,6.732302525052184,0.01,5,31.648322528877074,True,24.496293548501697,5.026338703090857
8569,M,3416.0623208490424,10.101003750864741,1.8941181127497075,35.71082480458457,136.54485793731396,False,high_co2,0.7561882916715839,6.732302525052184,0.01,10,35.91013393639738,True,22.361444711783363,5.026338703090857
8569,M,3416.0623208490424,10.101003750864741,1.8941181127497075,35.71082480458457,136.54485793731396,False,high_co2,0.7561882916715839,6.732302525052184,0.01,20,39.222293822036576,True,21.21360668053248,5.026338703090857
8570,M,3210.3518098187865,10.22887011557579,1.8,33.64952466138967,597.6302256200439,False,hycean,0.8656145309932556,7.273607623345761,0.002,5,135.8955454930932,True,41.30360293371359,0.8562343341940089
8570,M,3210.3518098187865,10.22887011557579,1.8,33.64952466138967,597.6302256200439,False,hycean,0.8656145309932556,7.273607623345761,0.002,10,168.50865169250545,True,32.44989552593481,0.8562343341940089
8570,M,3210.3518098187865,10.22887011557579,1.8,33.64952466138967,597.6302256200439,False,hycean,0.8656145309932556,7.273607623345761,0.002,20,198.03714444345226,True,26.953645064572473,0.8562343341940089
8571,M,3433.3569956985593,10.57917139458917,2.5161965722723965,44.90010051228417,543.476577015535,False,earth_like,0.16929519701706583,6.4996779167144645,1.0,5,77.25313817147907,True,39.975634554336025,1.310087512933416
